"","year","Scenario","sectors","value"
"1",2040,"Climate Pol.","Agriculture, forestry and fishing",33.48985
"2",2040,"Climate Pol.","Mining and quarrying, energy, water,
 waste management and remediation",-4.517479
"3",2040,"Climate Pol.","Manufacture of food, beverages 
 and tobacco products",19.55279
"4",2040,"Climate Pol.","Coking and refining",-29.43649
"5",2040,"Climate Pol.","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-0.58744
"6",2040,"Climate Pol.","Transport equipment manufacturing",0.629308
"7",2040,"Climate Pol.","Manufacture of other industrial products",11.6293
"8",2040,"Climate Pol.","Construction",11.62635
"9",2040,"Climate Pol.","Trade ; repair of motor vehicles and motorcycles",19.26237
"10",2040,"Climate Pol.","Transport and storage",31.99609
"11",2040,"Climate Pol.","Accommodation and catering",35.28054
"12",2040,"Climate Pol.","Information and communication",6.324839
"13",2040,"Climate Pol.","Financial and insurance activities",8.688326
"14",2040,"Climate Pol.","Real estate activities",8.010633
"15",2040,"Climate Pol.","Specialized, scientific and technical activities 
 and administrative and support service activities",6.172747
"16",2040,"Climate Pol.","Public administration, education,
 human health and social work",10.75996
"17",2040,"Climate Pol.","Other service activities",11.17437
"18",2040,"Covid","Agriculture, forestry and fishing",0.328867
"19",2040,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0.379666
"20",2040,"Covid","Manufacture of food, beverages 
 and tobacco products",0.278212
"21",2040,"Covid","Coking and refining",0.566029
"22",2040,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.171938
"23",2040,"Covid","Transport equipment manufacturing",0.102015
"24",2040,"Covid","Manufacture of other industrial products",0.313849
"25",2040,"Covid","Construction",0.238123
"26",2040,"Covid","Trade ; repair of motor vehicles and motorcycles",0.28276
"27",2040,"Covid","Transport and storage",0.378323
"28",2040,"Covid","Accommodation and catering",0.29741
"29",2040,"Covid","Information and communication",0.267029
"30",2040,"Covid","Financial and insurance activities",0.279058
"31",2040,"Covid","Real estate activities",0.259689
"32",2040,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.259718
"33",2040,"Covid","Public administration, education,
 human health and social work",0.152482
"34",2040,"Covid","Other service activities",0.339826
"35",2040,"Covid & Low Oil","Agriculture, forestry and fishing",-9.5172
"36",2040,"Covid & Low Oil","Mining and quarrying, energy, water,
 waste management and remediation",-0.07668
"37",2040,"Covid & Low Oil","Manufacture of food, beverages 
 and tobacco products",-2.717892
"38",2040,"Covid & Low Oil","Coking and refining",-27.9365
"39",2040,"Covid & Low Oil","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",1.601094
"40",2040,"Covid & Low Oil","Transport equipment manufacturing",0.71533
"41",2040,"Covid & Low Oil","Manufacture of other industrial products",-2.262881
"42",2040,"Covid & Low Oil","Construction",-4.473099
"43",2040,"Covid & Low Oil","Trade ; repair of motor vehicles and motorcycles",-5.135309
"44",2040,"Covid & Low Oil","Transport and storage",-9.084372
"45",2040,"Covid & Low Oil","Accommodation and catering",-5.133687
"46",2040,"Covid & Low Oil","Information and communication",-1.819691
"47",2040,"Covid & Low Oil","Financial and insurance activities",-0.398689
"48",2040,"Covid & Low Oil","Real estate activities",-1.411303
"49",2040,"Covid & Low Oil","Specialized, scientific and technical activities 
 and administrative and support service activities",-1.298784
"50",2040,"Covid & Low Oil","Public administration, education,
 human health and social work",-2.564099
"51",2040,"Covid & Low Oil","Other service activities",-0.713577
"52",2040,"Covid & Low Oil & Climate Pol.","Agriculture, forestry and fishing",27.20182
"53",2040,"Covid & Low Oil & Climate Pol.","Mining and quarrying, energy, water,
 waste management and remediation",-5.819966
"54",2040,"Covid & Low Oil & Climate Pol.","Manufacture of food, beverages 
 and tobacco products",18.20993
"55",2040,"Covid & Low Oil & Climate Pol.","Coking and refining",-51.96509
"56",2040,"Covid & Low Oil & Climate Pol.","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.63859
"57",2040,"Covid & Low Oil & Climate Pol.","Transport equipment manufacturing",1.274929
"58",2040,"Covid & Low Oil & Climate Pol.","Manufacture of other industrial products",10.31705
"59",2040,"Covid & Low Oil & Climate Pol.","Construction",7.581387
"60",2040,"Covid & Low Oil & Climate Pol.","Trade ; repair of motor vehicles and motorcycles",15.93276
"61",2040,"Covid & Low Oil & Climate Pol.","Transport and storage",26.77525
"62",2040,"Covid & Low Oil & Climate Pol.","Accommodation and catering",32.31266
"63",2040,"Covid & Low Oil & Climate Pol.","Information and communication",4.967051
"64",2040,"Covid & Low Oil & Climate Pol.","Financial and insurance activities",8.585565
"65",2040,"Covid & Low Oil & Climate Pol.","Real estate activities",7.211308
"66",2040,"Covid & Low Oil & Climate Pol.","Specialized, scientific and technical activities 
 and administrative and support service activities",5.210415
"67",2040,"Covid & Low Oil & Climate Pol.","Public administration, education,
 human health and social work",8.946909
"68",2040,"Covid & Low Oil & Climate Pol.","Other service activities",10.38894
