"","year","Scenario","sectors","value"
"1",2040,"Climate Pol.","Agriculture, forestry and fishing",3.974819
"2",2040,"Climate Pol.","Mining and quarrying, energy, water,
 waste management and remediation",-8.713937
"3",2040,"Climate Pol.","Manufacture of food, beverages 
 and tobacco products",6.215136
"4",2040,"Climate Pol.","Coking and refining",-26.70144
"5",2040,"Climate Pol.","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",-1.223071
"6",2040,"Climate Pol.","Transport equipment manufacturing",0.811827
"7",2040,"Climate Pol.","Manufacture of other industrial products",3.695966
"8",2040,"Climate Pol.","Construction",10.51301
"9",2040,"Climate Pol.","Trade ; repair of motor vehicles and motorcycles",3.292542
"10",2040,"Climate Pol.","Transport and storage",1.256491
"11",2040,"Climate Pol.","Accommodation and catering",6.459883
"12",2040,"Climate Pol.","Information and communication",3.272541
"13",2040,"Climate Pol.","Financial and insurance activities",2.233515
"14",2040,"Climate Pol.","Real estate activities",4.916882
"15",2040,"Climate Pol.","Specialized, scientific and technical activities 
 and administrative and support service activities",1.256023
"16",2040,"Climate Pol.","Public administration, education,
 human health and social work",1.595777
"17",2040,"Climate Pol.","Other service activities",0.06273
"18",2040,"Covid","Agriculture, forestry and fishing",0.149452
"19",2040,"Covid","Mining and quarrying, energy, water,
 waste management and remediation",0.140887
"20",2040,"Covid","Manufacture of food, beverages 
 and tobacco products",0.153209
"21",2040,"Covid","Coking and refining",0.115203
"22",2040,"Covid","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.118918
"23",2040,"Covid","Transport equipment manufacturing",0.075914
"24",2040,"Covid","Manufacture of other industrial products",0.135874
"25",2040,"Covid","Construction",0.242515
"26",2040,"Covid","Trade ; repair of motor vehicles and motorcycles",0.138856
"27",2040,"Covid","Transport and storage",0.133698
"28",2040,"Covid","Accommodation and catering",0.147165
"29",2040,"Covid","Information and communication",0.142065
"30",2040,"Covid","Financial and insurance activities",0.141982
"31",2040,"Covid","Real estate activities",0.152583
"32",2040,"Covid","Specialized, scientific and technical activities 
 and administrative and support service activities",0.138778
"33",2040,"Covid","Public administration, education,
 human health and social work",0.030386
"34",2040,"Covid","Other service activities",0.133404
"35",2040,"Covid & Low Oil","Agriculture, forestry and fishing",-0.223624
"36",2040,"Covid & Low Oil","Mining and quarrying, energy, water,
 waste management and remediation",0.533234
"37",2040,"Covid & Low Oil","Manufacture of food, beverages 
 and tobacco products",0.04887
"38",2040,"Covid & Low Oil","Coking and refining",-3.403434
"39",2040,"Covid & Low Oil","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",1.798104
"40",2040,"Covid & Low Oil","Transport equipment manufacturing",0.614999
"41",2040,"Covid & Low Oil","Manufacture of other industrial products",0.015967
"42",2040,"Covid & Low Oil","Construction",-3.799631
"43",2040,"Covid & Low Oil","Trade ; repair of motor vehicles and motorcycles",-0.050322
"44",2040,"Covid & Low Oil","Transport and storage",0.260233
"45",2040,"Covid & Low Oil","Accommodation and catering",-0.229251
"46",2040,"Covid & Low Oil","Information and communication",0.260272
"47",2040,"Covid & Low Oil","Financial and insurance activities",0.932079
"48",2040,"Covid & Low Oil","Real estate activities",-0.207031
"49",2040,"Covid & Low Oil","Specialized, scientific and technical activities 
 and administrative and support service activities",0.763135
"50",2040,"Covid & Low Oil","Public administration, education,
 human health and social work",-0.041207
"51",2040,"Covid & Low Oil","Other service activities",1.537563
"52",2040,"Covid & Low Oil & Climate Pol.","Agriculture, forestry and fishing",4.992951
"53",2040,"Covid & Low Oil & Climate Pol.","Mining and quarrying, energy, water,
 waste management and remediation",-7.234887
"54",2040,"Covid & Low Oil & Climate Pol.","Manufacture of food, beverages 
 and tobacco products",7.193746
"55",2040,"Covid & Low Oil & Climate Pol.","Coking and refining",-33.09575
"56",2040,"Covid & Low Oil & Climate Pol.","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing",0.500448
"57",2040,"Covid & Low Oil & Climate Pol.","Transport equipment manufacturing",1.805254
"58",2040,"Covid & Low Oil & Climate Pol.","Manufacture of other industrial products",4.983179
"59",2040,"Covid & Low Oil & Climate Pol.","Construction",7.638485
"60",2040,"Covid & Low Oil & Climate Pol.","Trade ; repair of motor vehicles and motorcycles",3.832305
"61",2040,"Covid & Low Oil & Climate Pol.","Transport and storage",2.613201
"62",2040,"Covid & Low Oil & Climate Pol.","Accommodation and catering",6.855655
"63",2040,"Covid & Low Oil & Climate Pol.","Information and communication",3.69057
"64",2040,"Covid & Low Oil & Climate Pol.","Financial and insurance activities",2.96215
"65",2040,"Covid & Low Oil & Climate Pol.","Real estate activities",4.996558
"66",2040,"Covid & Low Oil & Climate Pol.","Specialized, scientific and technical activities 
 and administrative and support service activities",1.882338
"67",2040,"Covid & Low Oil & Climate Pol.","Public administration, education,
 human health and social work",1.671736
"68",2040,"Covid & Low Oil & Climate Pol.","Other service activities",0.988096
